               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.012193,           0.0073253,                   0,             0.98112,             0.96364,             0.99308,             0.81362,           0.0063743,           0.0025527,                   0,            0.003532,            0.003532,            0.003532
                  51,            0.015198,           0.0075259,                   0,                   1,             0.99427,               0.995,             0.81847,           0.0067033,           0.0025023,                   0,              0.0034,              0.0034,              0.0034
                  52,            0.014916,           0.0072383,                   0,             0.99478,                   1,               0.995,             0.80439,           0.0070007,           0.0025143,                   0,            0.003268,            0.003268,            0.003268
                  53,            0.017073,           0.0073539,                   0,             0.99828,                   1,               0.995,             0.83136,           0.0069353,           0.0025211,                   0,            0.003136,            0.003136,            0.003136
                  54,            0.013804,           0.0075768,                   0,                   1,             0.99839,               0.995,             0.82436,           0.0068618,              0.0025,                   0,            0.003004,            0.003004,            0.003004
                  55,            0.015423,           0.0077218,                   0,                   1,             0.99596,               0.995,             0.82356,           0.0069101,           0.0024402,                   0,            0.002872,            0.002872,            0.002872
                  56,            0.011668,           0.0067787,                   0,                   1,             0.99646,               0.995,             0.81933,           0.0076242,           0.0024132,                   0,             0.00274,             0.00274,             0.00274
                  57,            0.014574,           0.0073141,                   0,                   1,             0.99959,               0.995,             0.81428,           0.0069787,            0.002457,                   0,            0.002608,            0.002608,            0.002608
                  58,            0.013972,           0.0072267,                   0,              0.9998,                   1,               0.995,              0.8188,           0.0068105,           0.0024373,                   0,            0.002476,            0.002476,            0.002476
                  59,            0.010494,           0.0074171,                   0,                   1,             0.97988,             0.99482,             0.82987,           0.0069763,           0.0024215,                   0,            0.002344,            0.002344,            0.002344
                  60,            0.014134,           0.0075441,                   0,                   1,             0.97916,             0.99482,             0.82115,           0.0066401,           0.0024622,                   0,            0.002212,            0.002212,            0.002212
                  61,            0.014145,           0.0071221,                   0,                   1,             0.98027,             0.99482,             0.83476,           0.0070036,           0.0024432,                   0,             0.00208,             0.00208,             0.00208
                  62,            0.010241,           0.0072288,                   0,             0.99387,                   1,               0.995,             0.82622,           0.0065483,           0.0024357,                   0,            0.001948,            0.001948,            0.001948
                  63,            0.010832,           0.0070428,                   0,              0.9985,                   1,               0.995,             0.84605,           0.0066916,           0.0023853,                   0,            0.001816,            0.001816,            0.001816
                  64,           0.0099328,           0.0074235,                   0,             0.99883,                   1,               0.995,             0.83443,           0.0067576,           0.0023653,                   0,            0.001684,            0.001684,            0.001684
                  65,            0.011651,           0.0073347,                   0,             0.99871,                   1,               0.995,             0.83925,           0.0070082,           0.0023562,                   0,            0.001552,            0.001552,            0.001552
                  66,            0.013875,           0.0070457,                   0,             0.99915,                   1,               0.995,             0.83313,           0.0064699,           0.0023656,                   0,             0.00142,             0.00142,             0.00142
                  67,            0.012013,           0.0068952,                   0,             0.99855,                   1,               0.995,             0.83931,           0.0063276,           0.0023512,                   0,            0.001288,            0.001288,            0.001288
                  68,           0.0099939,           0.0069395,                   0,             0.99777,                   1,               0.995,             0.84268,           0.0063567,           0.0023331,                   0,            0.001156,            0.001156,            0.001156
                  69,            0.012815,           0.0071054,                   0,             0.99716,                   1,               0.995,             0.83744,           0.0063736,           0.0023486,                   0,            0.001024,            0.001024,            0.001024
                  70,           0.0095118,             0.00681,                   0,             0.99732,                   1,               0.995,             0.85068,           0.0066515,           0.0023445,                   0,            0.000892,            0.000892,            0.000892
                  71,             0.01214,           0.0067366,                   0,             0.99732,                   1,               0.995,             0.85046,           0.0061978,           0.0023783,                   0,             0.00076,             0.00076,             0.00076
                  72,            0.010708,           0.0064621,                   0,             0.99761,                   1,               0.995,             0.83897,           0.0063846,           0.0023749,                   0,            0.000628,            0.000628,            0.000628
                  73,            0.017105,           0.0068827,                   0,             0.99765,                   1,               0.995,             0.84218,           0.0065356,           0.0023655,                   0,            0.000496,            0.000496,            0.000496
                  74,            0.011067,           0.0068638,                   0,             0.99775,                   1,               0.995,             0.83883,           0.0064552,           0.0023613,                   0,            0.000364,            0.000364,            0.000364
